"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","약국영업면적","지정일자",
"152","약국","01_01_06_P","5530000","PHMD120255530506084000012","2025-12-12","","01","영업/정상","13","영업중","","","","","031-8043-4481","","","경기도 화성시 석우동 36-1 동탄 삼성쉐르빌","경기도 화성시 큰재봉길 23-11, 동탄 삼성쉐르빌 111,112호 (석우동)","18450","동탄건강약국","2026-01-08 14:52:10","U","2026-01-10 02:40:00","","206951.541808859","412838.056390546","104","20251212",
"153","약국","01_01_06_P","5530000","PHMD120255530506084000010","2025-11-25","","01","영업/정상","13","영업중","","","","","031-376-0356","","","경기도 화성시 오산동 1040-1","경기도 화성시 동탄신리천로 268, 109호 (오산동)","18486","희망찬약국","2026-01-08 14:55:00","U","2026-01-10 02:40:00","","209497.781172803","409091.619082366","33.2","20251125",
"154","약국","01_01_06_P","5530000","PHMD120255530506084000008","2025-10-02","","01","영업/정상","13","영업중","","","","","031-8015-5286","","","경기도 화성시 석우동 31-7","경기도 화성시 삼성1로 144-9, 108호 (석우동)","18450","삼성제일약국","2026-01-08 14:56:48","U","2026-01-10 02:40:00","","206897.518921346","412801.813621207","47.04","20251002",
"155","약국","01_01_06_P","4641000","PHMD120254641062084000007","2025-09-25","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 덕진구 송천동2가 1332-2","전북특별자치도 전주시 덕진구 과학로 16 (송천동2가)","55149","365에코1번약국","2026-01-06 11:41:26","U","2026-01-10 02:40:00","","210989.02654013","263513.97328998","80.64","20250925",
"156","약국","01_01_06_P","3650000","PHMD120253650023084000005","2025-09-30","","01","영업/정상","13","영업중","","","","","042-587-0077","","","대전광역시 중구 산성동 121-9 금정빌딩","대전광역시 중구 보문산로 50, 금정빌딩 1층 (산성동)","35079","산성넘버원약국","2026-01-08 15:18:02","U","2026-01-10 02:40:00","","234592.071936213","311576.229470984","33","20250930",
"157","약국","01_01_06_P","3600000","PHMD120253600020084000008","2025-08-06","","01","영업/정상","13","영업중","","","","","062-375-9375","","","광주광역시 서구 치평동 265-1","광주광역시 서구 상무대로 799, 1층 (치평동)","61963","센트럴봄약국","2026-01-08 09:00:22","U","2026-01-10 02:40:00","","186268.492963851","183187.664429812","48","20250806",
"158","약국","01_01_06_P","5530000","PHMD120255530506084000006","2025-09-30","","01","영업/정상","13","영업중","","","","","031-378-9551","","","경기도 화성시 장지동 912-1","경기도 화성시 동탄순환대로 4, 106,107호 (장지동)","18498","아리랑약국","2026-01-08 14:58:47","U","2026-01-10 02:40:00","","208261.445668651","406969.259485437","115.76","20250930",
"159","약국","01_01_06_P","3660000","PHMD120113660023084000021","2011-12-19","","03","폐업","03","폐업","2026-01-11","","","","042-471-7320","","302-829","대전광역시 서구 둔산동 1082번지","대전광역시 서구 둔산로 14, 115호 (둔산동)","35230","상아약국","2026-01-08 09:32:22","U","2026-01-10 02:40:00","","233623.092507383","316881.489263804","14.53","20111219",
"160","약국","01_01_06_P","5530000","PHMD120125530021084000010","2012-03-19","","01","영업/정상","13","영업중","","","","","031-353-5856","","445-915","경기도 화성시 팔탄면 구장리 23번지 1호","경기도 화성시 팔탄면 푸른들판로 670","18527","건강제일약국","2026-01-07 09:32:09","U","2026-01-10 02:40:00","","190621.013623972","407368.26993483","120","20120319",
"161","약국","01_01_06_P","5530000","PHMD120055530021084000006","2005-07-20","","03","폐업","03","폐업","2026-01-08","","","","031-231-1016","","","경기도 화성시 진안동 512번지 1호 비젼월드","경기도 화성시 효행로 990, 비젼월드 108호 (진안동)","18401","신태안약국","2026-01-08 17:19:46","U","2026-01-10 02:40:00","","203164.820809131","412147.458999303","73.12","20050720",
"162","약국","01_01_06_P","5530000","PHMD120115530021084000036","2011-07-27","","01","영업/정상","13","영업중","","","","","070-4406-3852","","445-320","경기도 화성시 능동 1113번지 5호 우리프라자203호","경기도 화성시 동탄지성로 136, 203호 (능동, 우리프라자)","18433","능동키즈약국","2026-01-08 15:13:52","U","2026-01-10 02:40:00","","205316.76547947","411981.724514285","49.5","20110727",
"163","약국","01_01_06_P","3240000","PHMD120213240033084000005","2021-03-29","","01","영업/정상","13","영업중","","","","","02-3426-5384","","","서울특별시 강동구 암사동 502-22 이에스타워","서울특별시 강동구 상암로 31, 이에스타워 1층 (암사동)","05241","바른메디칼약국","2026-01-08 07:05:37","U","2026-01-10 02:40:00","","211165.95995659","449812.95523133","68.34","20210329",
"164","약국","01_01_06_P","5530000","PHMD120185530021084000039","2018-09-17","","01","영업/정상","13","영업중","","","","","070-4143-2700","","","경기도 화성시 반송동 47번지 1호","경기도 화성시 동탄공원로3길 36, 1층 (반송동)","18435","동탄하나약국","2026-01-08 14:15:59","U","2026-01-10 02:40:00","","205473.247429891","411818.424005328","143.07","20180917",
"165","약국","01_01_06_P","3200000","PHMD120223200033084000008","2022-07-14","","03","폐업","03","폐업","2026-01-08","","","","02-6339-9398","","","서울특별시 관악구 신림동 1602-1","서울특별시 관악구 신원로 23, 105호 (신림동)","08774","은약국","2026-01-08 14:58:29","U","2026-01-10 02:40:00","","193558.722989156","442164.620829978","22","20220714",
"166","약국","01_01_06_P","3150000","PHMD120123150037084000020","2012-07-19","","01","영업/정상","13","영업중","","","","","2661-7563","","157-812","서울특별시 강서구 공항동 42번지 22호","서울특별시 강서구 공항대로 34 (공항동)","07623","송정온누리약국","2026-01-08 11:17:42","U","2026-01-10 02:40:00","","183227.963853126","450986.476023762","50.49","20120719",
"167","약국","01_01_06_P","3170000","PHMD119753170035084000001","1975-06-24","","01","영업/정상","13","영업중","","","","","855-9558","","","서울특별시 금천구 독산동 146-1","서울특별시 금천구 시흥대로 471-1 (독산동)","08531","박애약국","2026-01-08 16:01:40","U","2026-01-10 02:40:00","","190923.963679959","441510.743691033","41.04","19750624",
"168","약국","01_01_06_P","3040000","PHMD120003040033084000010","2000-09-20","","01","영업/정상","13","영업중","","","","","469-3363","","143-843","서울특별시 광진구 자양동 45번지 17호","서울특별시 광진구 뚝섬로 496 (자양동)","05085","뉴메디칼약국","2026-01-08 10:21:30","U","2026-01-10 02:40:00","","205695.245621954","448195.920508043","38.5","20000920",
"169","약국","01_01_06_P","5590000","PHMD120235590021084000010","2023-10-11","","01","영업/정상","13","영업중","","","","","031-928-5603","","","경기도 양주시 덕계동 928-7","경기도 양주시 덕계로 132-12, 제이타워 108호,109호 (덕계동)","11444","약사랑온누리약국","2026-01-08 11:05:13","U","2026-01-10 02:40:00","","204818.198656222","479562.802632092","77.62","20231011",
"170","약국","01_01_06_P","3830000","PHMD120243830263084000009","2024-12-30","","01","영업/정상","13","영업중","","","","","031-380-1442","","","경기도 안양시 동안구 호계동 1039-3 킴스아울렛","경기도 안양시 동안구 동안로 119, 킴스아울렛 지하1층 일부호 (호계동)","14073","안양365약국","2026-01-08 10:14:17","U","2026-01-10 02:40:00","","195607.793974827","431900.704084955","9.91","20241230",
"171","약국","01_01_06_P","3010000","PHMD120263010033084000002","2026-01-09","","01","영업/정상","13","영업중","","","","","02-318-1416","","","서울특별시 중구 명동2가 54-30","서울특별시 중구 명동4길 19, 1~3층 (명동2가)","04536","에이트명동1번가약국","2026-01-09 15:52:51","I","2026-01-11 00:20:02","","198506.606542076","451169.659942791","174.44","20260109",
"172","약국","01_01_06_P","4490000","PHMD120144490260084000011","2014-02-24","","01","영업/정상","13","영업중","","","","","041-533-0825","","","충청남도 천안시 동남구 신방동 57-6 신방동새말빌딩","충청남도 천안시 동남구 서부대로 245, 신방동새말빌딩 1층 (신방동)","31176","신방종로약국","2026-01-09 16:32:10","I","2026-01-11 00:20:02","","211401.271157246","365413.49696395","185.09","20140224",
"173","약국","01_01_06_P","3010000","PHMD120143010033084000005","2014-05-19","","03","폐업","03","폐업","2026-01-09","","","","2252-1621","","","서울특별시 중구 신당동 368번지 58호","서울특별시 중구 다산로 114-8, 1층 (신당동)","04597","좋은약국","2026-01-09 16:17:04","U","2026-01-11 02:40:00","","200875.293256646","450173.90940827","50.02","20140519",
"174","약국","01_01_06_P","5590000","PHMD120095590021084000005","2009-05-18","","01","영업/정상","13","영업중","","","","","031-868-1101","","","경기도 양주시 덕계동 694-6 리치마트","경기도 양주시 평화로 1417, 리치마트 1층 일부호 (덕계동)","11442","리치마트약국","2026-01-09 14:26:08","U","2026-01-11 02:40:00","","203847.739204009","479450.728704419","28","20090518",
"175","약국","01_01_06_P","3540000","PHMD120023540021084000012","2002-06-03","","01","영업/정상","13","영업중","","","","","032-501-7545","","","인천광역시 부평구 부평동 549-3","인천광역시 부평구 부평대로 23, 1층 102호 (부평동)","21389","자연약국","2026-01-09 11:14:01","U","2026-01-11 02:40:00","","175396.803778938","443523.443994674","108.22","20020603",
"176","약국","01_01_06_P","3310000","PHMD120143310024084000008","2014-10-01","","01","영업/정상","13","영업중","","","","","051-622-6421","","608-805","부산광역시 남구 대연동 73번지 18호","부산광역시 남구 수영로 299 (대연동)","48434","대학온누리약국","2026-01-09 16:51:16","U","2026-01-11 02:40:00","","391224.21582126","184018.67025578","89.71","20141001",
"177","약국","01_01_06_P","3410000","PHMD120253410023084000012","2025-12-22","","01","영업/정상","13","영업중","","","","","053-262-8946","","","","대구광역시 중구 이천로 237, 1층 (봉산동)","41959","시온약국","2026-01-09 17:10:41","U","2026-01-11 02:40:00","","344357.504884139","263636.780913209","52.57","20251222",
"178","약국","01_01_06_P","5080000","PHMD120255080035084000011","2025-12-23","","01","영업/정상","13","영업중","","","","","054-715-7340","","","경상북도 구미시 원평동 68-1 멀티복합상가","경상북도 구미시 구미중앙로 44, 멀티복합상가 2층 205호 (원평동)","39222","알파약국","2026-01-09 11:10:11","U","2026-01-11 02:40:00","","319433.140075016","292986.790402908","25","20251223",
"179","약국","01_01_06_P","5360000","PHMD120075360021084000002","2007-02-28","","01","영업/정상","13","영업중","","","","","055-352-1314","","627-140","경상남도 밀양시 내일동 389번지","경상남도 밀양시 중앙로 358 (내일동)","50429","배약국","2026-01-09 15:37:34","U","2026-01-11 02:40:00","","359013.33291606","223044.742066349","29.5","20070228",
"180","약국","01_01_06_P","4140000","PHMD120254140020084000002","2025-07-09","","03","폐업","03","폐업","2026-01-13","","","","","","","","경기도 연천군 백학면 두백로 33","11048","백학종점약국","2026-01-09 16:33:16","U","2026-01-11 02:40:00","","192351.639523333","503261.69623967","99.15","20250709",
"181","약국","01_01_06_P","3660000","PHMD120183660023084000020","2018-10-24","","01","영업/정상","13","영업중","","","","","042-486-7009","","","대전광역시 서구 둔산동 1046번지","대전광역시 서구 대덕대로 189 (둔산동)","35230","도담약국","2026-01-09 16:42:21","U","2026-01-11 02:40:00","","233792.927406403","316667.90899688","25.62","20181024",
"182","약국","01_01_06_P","5350000","PHMD120175350029084000013","2017-05-04","","01","영업/정상","13","영업중","","","","","328-0011","","","경상남도 김해시 관동동 1068-7 1층","경상남도 김해시 율하카페길 5-17, 1층 (관동동)","51014","자연담은 민산한약국","2026-01-09 17:10:54","U","2026-01-11 02:40:00","","364527.971147577","187900.438763715","26.4","20170504",
"183","약국","01_01_06_P","4050000","PHMD120264050147084000001","2026-01-12","","01","영업/정상","13","영업중","","","","","031-321-8818","","","경기도 용인시 처인구 포곡읍 둔전리 158","경기도 용인시 처인구 포곡읍 포곡로 121, 1층","17027","고은약국","2026-01-12 16:30:01","I","2026-01-14 00:20:02","","219299.542368824","418712.09701519","63","20260112",
"184","약국","01_01_06_P","3010000","PHMD120263010033084000003","2026-01-09","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 명동2가 83-5 Noon Square","서울특별시 중구 명동길 14, Noon Square 1층 (명동2가)","04536","명동 퍼스트 약국","2026-01-12 09:19:10","I","2026-01-14 00:20:02","","198418.741655644","451237.168596152","18.18","20260109",
"185","약국","01_01_06_P","3740000","PHMD120263740033084000001","2026-01-12","","01","영업/정상","13","영업중","","","","","031-237-9207","","","경기도 수원시 팔달구 인계동 1038-3","경기도 수원시 팔달구 권광로 197, 101호 (인계동)","16489","수원대형약국","2026-01-12 15:12:55","I","2026-01-14 00:20:02","","202836.499702032","418142.319944071","495","20260112",
"186","약국","01_01_06_P","3920000","PHMD120263920017084000001","2026-01-12","","01","영업/정상","13","영업중","","","","","0318367205","","","경기도 동두천시 생연동 611-27","경기도 동두천시 동광로 52, 1층 (생연동)","11328","아침향기약국","2026-01-12 09:24:22","I","2026-01-14 00:20:02","","204685.740737981","489533.818670678","33","20260112",
"187","약국","01_01_06_P","3830000","PHMD120263830262084000001","2026-01-09","","01","영업/정상","13","영업중","","","","","031-442-2221","","","경기도 안양시 만안구 안양동 676-214","경기도 안양시 만안구 안양로 297, 1층 102호 (안양동)","14001","안양우리들약국","2026-01-12 10:23:51","I","2026-01-14 00:20:02","","","","76","20260109",
"188","약국","01_01_06_P","3430000","PHMD120263430019084000001","2026-01-07","","01","영업/정상","13","영업중","","","","","053-522-0789","","","대구광역시 서구 평리동 1535-12","대구광역시 서구 국채보상로 161-1, 1층 (평리동)","41768","백화점약국","2026-01-12 09:46:59","I","2026-01-14 00:20:02","","339810.858455188","264372.134196815","330.6","20260107",
"189","약국","01_01_06_P","3430000","PHMD120263430019084000002","2026-01-12","","01","영업/정상","13","영업중","","","","","053-522-0789","","","대구광역시 서구 평리동 1535-12","대구광역시 서구 국채보상로 161-1, 1층 (평리동)","41768","백화점약국","2026-01-12 17:32:22","I","2026-01-14 00:20:02","","339810.858455188","264372.134196815","330.6","20260112",
"190","약국","01_01_06_P","3060000","PHMD120023060034084000007","2002-07-12","","03","폐업","03","폐업","2026-01-12","","","","02-2207-3402","","","서울특별시 중랑구 망우동 355번지 12호","서울특별시 중랑구 망우로71길 39 (망우동)","02059","조은약국","2026-01-12 15:01:47","U","2026-01-14 02:40:00","","208937.171025791","455538.867654047","42","20020712",
"191","약국","01_01_06_P","3300000","PHMD120233300024084000006","2023-06-30","","03","폐업","03","폐업","2026-01-12","","","","051-555-3503","","","부산광역시 동래구 온천동 1853-29","부산광역시 동래구 금정마을로 152, 1층 (온천동)","47719","공감약국","2026-01-12 15:28:04","U","2026-01-14 02:40:00","","","","63.33","20230630",
"192","약국","01_01_06_P","3820000","PHMD120163820050084000003","2016-02-22","","01","영업/정상","13","영업중","","","","","031-841-1942","","","경기도 의정부시 의정부동 235번지 17호","경기도 의정부시 평화로 635 (의정부동, 미림프라자)","11686","국민약국","2026-01-12 15:21:12","U","2026-01-14 02:40:00","","203877.860464049","471799.285751954","52","20160222",
"193","약국","01_01_06_P","4090000","PHMD120124090023084000015","2012-03-22","","01","영업/정상","13","영업중","","","","","031-998-0005","","","경기도 김포시 구래동 6883번지 7호","경기도 김포시 김포한강9로 90, 성현프라자 112호 (구래동)","10071","새봄약국","2026-01-12 11:39:59","U","2026-01-14 02:40:00","","166939.608701573","460317.848530038","41","20120322",
"194","약국","01_01_06_P","4520000","PHMD120194520031084000012","2019-11-25","","01","영업/정상","13","영업중","","","","","041-541-5841","","","충청남도 아산시 온천동 1991번지","충청남도 아산시 아산로 118-3, 1층 103호 (온천동)","31509","온약국","2026-01-12 15:49:57","U","2026-01-14 02:40:00","","199512.80057722","365703.851805628","33.44","20191125",
"195","약국","01_01_06_P","3210000","PHMD120223210034084000001","2022-02-03","","01","영업/정상","13","영업중","","","","","02-598-6335","","","서울특별시 서초구 서초동 1445-4 래미안 서초유니빌","서울특별시 서초구 서초중앙로 26, 2층 221호 (서초동, 래미안 서초유니빌)","06720","소망약국","2026-01-12 09:46:37","U","2026-01-14 02:40:00","","201430.900026124","442500.630366001","46.8","20220203",
"196","약국","01_01_06_P","4201000","PHMD120184200028084000011","2018-10-05","","01","영업/정상","13","영업중","","","","","033-642-5581","","","강원특별자치도 강릉시 홍제동 1031번지 4호","강원특별자치도 강릉시 선수촌로 64-3, 1층 (홍제동)","25522","해담은유진약국","2026-01-12 15:58:54","U","2026-01-14 02:40:00","","364788.423273745","474355.105155646","36.8","20181005",
"197","약국","01_01_06_P","6510000","PHMD120056510098084000001","2005-08-31","","01","영업/정상","13","영업중","","","","","064-784-8434","","695-965","제주특별자치도 제주시 조천읍 함덕리 72-4","제주특별자치도 제주시 조천읍 함와로 40","63334","함덕하나로약국","2026-01-12 15:22:55","U","2026-01-14 02:40:00","","169673.426099339","4523.1427653302","34.56","20050831",
"198","약국","01_01_06_P","5350000","PHMD120245350356084000001","2024-01-05","","01","영업/정상","13","영업중","","","","","055-327-2226","","","경상남도 김해시 대청동 300 롯데마트, 1층","경상남도 김해시 번화1로56번길 15, 롯데마트 1층 (대청동)","51004","파랑새약국","2026-01-12 17:58:55","U","2026-01-14 02:40:00","","363984.907414338","189687.574572712","77.34","20240105",
"199","약국","01_01_06_P","3000000","PHMD120243000034084000003","2024-03-15","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 묘동 20-5 3호선 종로3가역","서울특별시 종로구 돈화문로 지하30, 3호선 종로3가역 지하2층 319-205-4호 (묘동)","03138","종로팔팔온누리약국","2026-01-12 11:42:22","U","2026-01-14 02:40:00","","199214.362022069","452131.74440025","85.68","20240315",
"200","약국","01_01_06_P","3510500","PHMD120243510513084000001","2024-03-15","","01","영업/정상","13","영업중","","","","","032-872-8544","","","인천광역시 미추홀구 학익동 661-1","인천광역시 미추홀구 매소홀로 466, 1층 (학익동)","22223","다정한온누리약국","2026-01-12 18:55:13","U","2026-01-14 02:40:00","","171043.268419145","437518.572474754","24.1","20240315",
"201","약국","01_01_06_P","3680000","PHMD120113680022084000010","2011-12-23","","01","영업/정상","13","영업중","","","","","931-7570","","306-803","대전광역시 대덕구 덕암동 10번지 6호","대전광역시 대덕구 덕암로265번길 25 (덕암동)","34330","영화약국","2026-01-12 13:47:41","U","2026-01-14 02:40:00","","237972.368997333","327137.453301094","40.66","20111223",
"202","약국","01_01_06_P","3200000","PHMD120213200033084000003","2021-08-24","","01","영업/정상","13","영업중","","","","","02-849-7770","","","","서울특별시 관악구 보라매로3길 29, 3층 11호 (봉천동, 해태보라매타워)","08708","나나약국","2026-01-12 11:35:25","U","2026-01-14 02:40:00","","193306.240555398","443221.321009043","45","20210824",
"203","약국","01_01_06_P","5310000","PHMD120185310029084000004","2018-02-09","","01","영업/정상","13","영업중","","","","","055-741-2454","","","경상남도 진주시 장대동 128번지 15호","경상남도 진주시 진양호로 555-1, 1층 (장대동)","52755","대학당약국","2026-01-12 11:08:55","U","2026-01-14 02:40:00","","298849.317161964","188830.745503194","72.73","20180209",
"204","약국","01_01_06_P","3780000","PHMD120133780064084000017","2013-05-31","","01","영업/정상","13","영업중","","","","","031-714-7975","","463-805","경기도 성남시 분당구 금곡동 154번지 미금프라자 106호","경기도 성남시 분당구 돌마로 75, 106호 (금곡동, 미금프라자)","13618","새분당서울약국","2026-01-12 17:56:22","U","2026-01-14 02:40:00","","209712.870686403","427601.150435861","121.16","20130531",
"205","약국","01_01_06_P","3980000","PHMD120173980021084000010","2017-11-14","","03","폐업","03","폐업","2026-01-02","","","","031-565-4577","","","경기도 구리시 교문동 766번지","경기도 구리시 이문안로 31, 204호 (교문동)","11937","윤약국","2026-01-12 17:24:48","U","2026-01-14 02:40:00","","211883.553917781","454545.440884413","38.7","20171114",
"206","약국","01_01_06_P","5600000","PHMD120255600005084000001","2025-02-24","","01","영업/정상","13","영업중","","","","","031-532-2466","","","","경기도 포천시 내촌면 내촌로 60","11189","서울약국","2026-01-12 15:09:17","U","2026-01-14 02:40:00","","219939.509453034","475899.489947461","35.52","20250224",
"207","약국","01_01_06_P","3050000","PHMD120033050034084000004","2003-03-11","","02","휴업","02","휴업","","2026-01-13","2027-01-12","","02-957-9981","","","서울특별시 동대문구 제기동 992번지 37호","서울특별시 동대문구 고산자로38길 18, 1층 (제기동)","02571","우리약국","2026-01-13 11:14:54","U","2026-01-15 02:40:00","","203428.053883877","453066.365976228","16.1","20030311",
"208","약국","01_01_06_P","5710000","PHMD120195710109084000005","2019-09-10","","03","폐업","03","폐업","2026-01-13","","","","043-714-3013","","","충청북도 청주시 청원구 율량동 500번지 3호 홈플러스","충청북도 청주시 청원구 충청대로 114, 홈플러스 (율량동)","28320","유유약국","2026-01-13 13:39:22","U","2026-01-15 02:40:00","","244184.944567344","351834.595747257","36.54","20190910",
"209","약국","01_01_06_P","4301000","PHMD120124300012084000008","2012-12-10","","01","영업/정상","13","영업중","","","","","033-452-2321","","269-805","강원특별자치도 철원군 갈말읍 신철원리 973번지 5호","강원특별자치도 철원군 갈말읍 삼부연로8번길 4-2","24048","한일약국","2026-01-13 14:47:33","U","2026-01-15 02:40:00","","227000.593802156","515800.520244644","66","20121210",
"210","약국","01_01_06_P","3740000","PHMD120193740033084000008","2019-09-03","","01","영업/정상","13","영업중","","","","","031-235-1388","","","경기도 수원시 팔달구 인계동 753번지 5호","경기도 수원시 팔달구 중부대로 42, 1층 (인계동)","16470","참약국","2026-01-13 15:16:45","U","2026-01-15 02:40:00","","201828.912806477","419242.437962276","49","20190903",
"211","약국","01_01_06_P","3830000","PHMD120223830263084000013","2022-11-23","","01","영업/정상","13","영업중","","","","","031-381-8864","","","경기도 안양시 동안구 호계동 1049 백두프라자","경기도 안양시 동안구 평촌대로217번길 27, 백두프라자 1층 108호 (호계동)","14072","365스마일약국","2026-01-13 13:52:05","U","2026-01-15 02:40:00","","195858.489111917","432023.709404664","42","20221123",
"212","약국","01_01_06_P","3820000","PHMD120203820050084000011","2020-09-25","","01","영업/정상","13","영업중","","","","","851-8711","","","경기도 의정부시 용현동 276","경기도 의정부시 용민로 60, 1층 106호 (용현동)","11785","은하수약국","2026-01-13 10:20:53","U","2026-01-15 02:40:00","","207442.708658193","470461.992139669","30.97","20200925",
"213","약국","01_01_06_P","5710000","PHMD120074410018084000008","2007-07-11","","03","폐업","03","폐업","2026-01-12","","","","043-216-8575","","363-885","충청북도 청주시 청원구 오창읍 각리 646번지 1호","충청북도 청주시 청원구 오창읍 오창중앙로 47-16, 205호 (우림필유2차 상가)","28124","하늘약국","2026-01-13 17:12:34","U","2026-01-15 02:40:00","","237753.060596299","356083.638973121","0","20070711",
"214","약국","01_01_06_P","3220000","PHMD120103220033084000046","2010-11-30","","03","폐업","03","폐업","2026-01-01","","","","568-7347","","135-500","서울특별시 강남구 대치1동 1019번지 15호 아주빌딩 106호","서울특별시 강남구 삼성로 225, 106호 (대치동, 아주빌딩)","06279","유정약국","2026-01-13 11:52:04","U","2026-01-15 02:40:00","","205355.5442331","443886.953546051","34.02","20101130",
"215","약국","01_01_06_P","3020000","PHMD120143020033084000003","2014-01-24","","01","영업/정상","13","영업중","","","","","02-701-8224","","","서울특별시 용산구 효창동 286-1","서울특별시 용산구 백범로51길 6, 지하1층 (효창동)","04318","수약국","2026-01-13 19:04:32","U","2026-01-15 02:40:00","","196325.553848282","448686.217025972","56.19","20140124",
"216","약국","01_01_06_P","3020000","PHMD120043020033084000002","2004-08-09","","01","영업/정상","13","영업중","","","","","02-794-0705","","","서울특별시 용산구 남영동 24-4","서울특별시 용산구 한강대로 290-1, 1층 (남영동)","04352","국제약국","2026-01-13 19:08:35","U","2026-01-15 02:40:00","","197504.994272381","449104.953362094","22.84","20040809",
"217","약국","01_01_06_P","3020000","PHMD119993020033084000001","1999-10-19","","01","영업/정상","13","영업중","","","","","02-792-9290","","","서울특별시 용산구 이촌동 301-263 렉스상가","서울특별시 용산구 이촌로 300, 렉스상가 2-2,3-1호 (이촌동)","04425","한국구일온누리약국","2026-01-13 18:33:34","U","2026-01-15 02:40:00","","198165.767858385","446185.244544796","47.46","19991019",
"218","약국","01_01_06_P","3020000","PHMD120073020033084000003","2007-03-05","","01","영업/정상","13","영업중","","","","","02-718-6448","","","서울특별시 용산구 효창동 80","서울특별시 용산구 백범로 285 (효창동)","04318","신효창프라자약국","2026-01-13 18:58:25","U","2026-01-15 02:40:00","","196490.844311727","448594.448927151","50.53","20070305",
"219","약국","01_01_06_P","3210000","PHMD119983210034084000006","1998-12-04","","01","영업/정상","13","영업중","","","","","02-3487-4233","","","서울특별시 서초구 서초동 1603-1 블루핀타워 107호","서울특별시 서초구 서초중앙로 42, 107호 (서초동)","06643","장수알파약국","2026-01-13 14:39:29","U","2026-01-15 02:40:00","","201353.74049169","442618.447987766","49.29","19981204",
"220","약국","01_01_06_P","5590000","PHMD120215590021084000001","2021-01-27","","01","영업/정상","13","영업중","","","","","031-866-1440","","","경기도 양주시 남면 신산리 285-192","경기도 양주시 남면 개나리길 70, 101호","11404","신모범약국","2026-01-13 09:14:14","U","2026-01-15 02:40:00","","197705.194696232","488151.831047655","59.4","20210127",
"221","약국","01_01_06_P","3470000","PHMD120213470022084000003","2021-02-02","","01","영업/정상","13","영업중","","","","","053-556-7900","","","대구광역시 달서구 감삼동 280-7 숭조빌딩","대구광역시 달서구 와룡로 138, 숭조빌딩 1층 101호 (감삼동)","42653","본리선약국","2026-01-13 10:23:51","U","2026-01-15 02:40:00","","338832.397519044","261617.334932444","42.52","20210202",
"222","약국","01_01_06_P","4191000","PHMD120264191050084000002","2026-01-13","","01","영업/정상","13","영업중","","","","","033-763-6888","","","강원특별자치도 원주시 개운동 451-4 한신프라자","강원특별자치도 원주시 서원대로 383, 한신프라자 126,127호 (개운동)","26448","상도약국","2026-01-14 13:11:48","I","2026-01-16 00:20:02","","283988.068430024","425979.3239463","93.6","20260113",
"223","약국","01_01_06_P","3930000","PHMD120263930154084000001","2026-01-14","","01","영업/정상","13","영업중","","","","","031-413-4131","","","경기도 안산시 단원구 선부동 1071 한영타워","경기도 안산시 단원구 선부광장1로 186, 한영타워 1층 121호 (선부동)","15367","한도건강약국","2026-01-14 13:30:43","I","2026-01-16 00:20:02","","182835.362623803","425800.465276863","86.25","20260114",
"224","약국","01_01_06_P","3100000","PHMD120263100034084000001","2026-01-13","","01","영업/정상","13","영업중","","","","","02-933-2321","","","서울특별시 노원구 상계동 749-8 삼양빌딩","서울특별시 노원구 동일로 1350, 삼양빌딩 103,104호 (상계동)","01756","대기없는1등약국","2026-01-14 10:27:46","I","2026-01-16 00:20:02","","205437.99609028","460765.486012553","38.61","20260113",
"225","약국","01_01_06_P","3220000","PHMD120233220033084000018","2023-08-02","","01","영업/정상","13","영업중","","","","","02-6958-5937","","","서울특별시 강남구 신사동 662 남송빌딩","서울특별시 강남구 압구정로50길 11, 1층 105호 (신사동)","06018","샤인약국","2026-01-14 10:21:47","U","2026-01-16 02:40:00","","203307.540869552","447246.876536676","20.6","20230802",
"226","약국","01_01_06_P","5590000","PHMD120175590021084000003","2017-07-19","","01","영업/정상","13","영업중","","","","","031-861-8288","","","","경기도 양주시 평화로 1426 (덕계동)","11444","가족약국","2026-01-14 17:45:04","U","2026-01-16 02:40:00","","","","29.7","20170719",
"227","약국","01_01_06_P","4231000","PHMD119984230018084000001","1998-07-03","","01","영업/정상","13","영업중","","","","","033-636-5668","","217-010","강원특별자치도 속초시 영랑동165-2","강원특별자치도 속초시 번영로 207 (영랑동)","24821","금강산약국","2026-01-14 09:49:24","U","2026-01-16 02:40:00","","339185.125665492","524990.658181644","0","19980703",
"228","약국","01_01_06_P","4820000","PHMD120054820026084000018","2008-01-14","","03","폐업","03","폐업","2026-01-08","","","","061-721-6700","","540-969","전라남도 순천시 조례동 1834번지 4호","전라남도 순천시 백연길 98 (조례동)","57971","비타민약국","2026-01-14 11:09:03","U","2026-01-16 02:40:00","","248561.25","161764.475","99.17","20080114",
