"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","점포구분명",
"139","대규모점포","08_25_01_P","3400000","2014340004407500001","2014-10-21","","01","영업/정상","1","정상영업","","","","","02-771-2500","81233.42","619-902","부산광역시 기장군 기장읍 당사리 64번지 외 106필지 (동부산관광단지 내)","부산광역시 기장군 기장읍 기장해안로 147 (동부산관광단지내)","619-902","롯데몰 동부산점","2026-01-14 12:35:12","U","2026-01-16 02:40:00","전문점","401473.950698586","190354.255834345","대규모점포",
"140","대규모점포","08_25_01_P","3830000","1999383000007500004","1999-07-22","","01","영업/정상","1","정상영업","","","","","031-380-7536","41816","","경기도 안양시동안구 호계동 1039번지 3호","경기도 안양시 동안구 동안로 119 (호계동)","431-080","(주)뉴코아아울렛 평촌점","2026-01-15 11:00:34","U","2026-01-17 02:40:00","복합쇼핑몰","195607.793974827","431900.704084955","대규모점포",
"141","대규모점포","08_25_01_P","3830000","1997383006207500002","1997-12-16","","01","영업/정상","1","정상영업","","","","","031 4492001","8174","","경기도 안양시만안구 안양동 627번지 287호","경기도 안양시 만안구 안양로 275 (안양동)","","이천일아울렛 안양점","2026-01-15 11:04:11","U","2026-01-17 02:40:00","쇼핑센터","","","대규모점포",
"142","대규모점포","08_25_01_P","4810000","2006481001907500001","2006-05-12","","01","영업/정상","1","정상영업","","","","","061 640 2500","14477","","전라남도 여수시 국동 호 37-100번지 외4필지","전라남도 여수시 국포1로 36 (국동, 외 4필지)","550-806","롯데쇼핑(주) 롯데몰 여수점","2026-01-15 10:18:19","U","2026-01-17 02:40:00","대형마트","266009.018232866","136883.364567217","대규모점포",
"143","대규모점포","08_25_01_P","3110000","2007311011107500001","2007-04-11","","01","영업/정상","1","정상영업","","","","","02-3417-2001","16972.65","","서울특별시 은평구 대조동 240호","서울특별시 은평구 불광로 20 (대조동)","","엔씨백화점 불광점","2026-01-15 10:42:44","U","2026-01-17 02:40:00","쇼핑센터","193661.732383169","456379.193899276","대규모점포",
"144","대규모점포","08_25_01_P","4010000","2000401007807500001","2000-02-26","","01","영업/정상","1","정상영업","","2012-01-30","2012-09-19","2012-09-12","031 435 7500","7480","429-874","경기도 시흥시 대야동 542번지","경기도 시흥시 비둘기공원로 28 (대야동)","429-874","롯데쇼핑(주) 롯데마트 시흥점","2026-01-15 13:52:39","U","2026-01-17 02:40:00","대형마트","181520.673307238","437898.181862031","대규모점포",
"145","대규모점포","08_25_01_P","4010000","2016401023907500001","2016-09-22","","01","영업/정상","1","정상영업","","","","","02-2145-8487","13550.1","","","경기도 시흥시 서울대학로278번길 67 (정왕동, 롯데마트(시흥배곧점))","15011","롯데쇼핑(주) 롯데마트 시흥배곧점","2026-01-15 14:05:53","U","2026-01-17 02:40:00","대형마트","176109.153092015","429698.791930655","대규모점포",
"146","대규모점포","08_25_01_P","4010000","2005401011307500001","2005-03-31","","01","영업/정상","1","정상영업","","","","","031 496 7722","2512","","경기도 시흥시 정왕동 1366번지 4호","경기도 시흥시 마유로238번길 26 (정왕동)","429-853","롯데쇼핑(주) 롯데마트 시화점","2026-01-15 14:08:23","U","2026-01-17 02:40:00","대형마트","176013.580530478","426137.322631345","대규모점포",
"147","대규모점포","08_25_01_P","3100000","2009310010907500001","2009-09-21","","01","영업/정상","1","정상영업","","","","","02-948-2100","12287","139-726","서울특별시 노원구 중계2.3동 509번지 2001아울렛","서울특별시 노원구 동일로204가길 46 (중계동)","139-726","이천일아울렛 중계점","2026-01-15 10:15:19","U","2026-01-17 02:40:00","복합쇼핑몰","205931.05327036","459884.197207567","대규모점포",
"148","대규모점포","08_25_01_P","3980000","2013398010807500001","2013-12-31","","01","영업/정상","1","정상영업","","","","","025578828","19936.36","","경기도 구리시 인창동 419번지 7호 구리 복합몰(롯데아울렛 구리점)","경기도 구리시 동구릉로136번길 47, 구리 복합몰(롯데아울렛 구리점) (인창동)","11915","롯데 아울렛 구리점","2026-01-15 14:05:28","U","2026-01-17 02:40:00","쇼핑센터","212338.516597728","456623.179059563","대규모점포",
"149","대규모점포","08_25_01_P","3860000","2009386021207500004","2009-09-23","","01","영업/정상","1","정상영업","","","","","624-8119","25023.5","","경기도 부천시 원미구 상동 539-1 소풍(부천터미널)","경기도 부천시 원미구 송내대로 239, 소풍(부천터미널) (상동)","14545","뉴코아부천점","2026-01-15 13:46:55","U","2026-01-17 02:40:00","쇼핑센터","178411.442079953","444684.405331659","대규모점포",
"150","대규모점포","08_25_01_P","3340000","2006334001707500001","2006-04-19","","01","영업/정상","1","정상영업","","","","","0512095000","8342.23","","부산광역시 사하구 괴정동 961번지 1호","부산광역시 사하구 사하로 190 (괴정동)","604-811","뉴코아 아울렛 괴정점","2026-01-15 09:18:24","U","2026-01-17 02:40:00","쇼핑센터","381751.00317294","179575.519981971","대규모점포",
